id,gender,residence,politicalparty,numbchildren,age,income,jobhappy,tvhours,radiohours
8,M,Suburban,Republican,5,35,34,5,15,15
27,F,Urban,Democrat,2,20,28,2,20,13
34,F,Suburban,Independent,4,35,71,7,18,17
18,M,Rural,Independent,7,41,35,8,12,20
4,M,Urban,Republican,3,39,55,4,14,15
14,M,Urban,Democrat,3,59,75,1,11,18
23,F,Urban,Democrat,1,20,26,2,10,11
39,M,Rural,Other,4,52,30,9,12,30
54,F,Rural,Other,2,44,27,7,8,14
44,M,Urban,Republican,0,46,53,0,21,10
17,F,Urban,Republican,2,40,45,3,12,14
12,F,Suburban,Other,2,34,34,5,8,10
26,F,Urban,Republican,2,24,30,2,11,15
11,M,Urban,Democrat,4,62,78,1,18,11
38,M,Suburban,Other,3,44,68,7,17,12
9,F,Rural,Republican,6,44,29,9,8,27
29,F,Suburban,Democrat,4,38,40,9,9,25
13,M,Rural,Independent,9,47,39,6,8,20
24,M,Urban,Democrat,3,44,60,2,27,4
33,F,Urban,Democrat,1,45,49,3,9,12
15,F,Rural,Other,2,56,39,8,6,27
52,F,Suburban,Republican,0,32,33,5,11,15
35,M,Suburban,Other,1,54,65,3,14,14
30,F,Rural,Independent,3,41,25,7,5,25
47,M,Suburban,Republican,6,50,61,5,15,15
32,F,Rural,Republican,2,59,41,8,8,27
41,F,Suburban,Other,3,44,44,3,10,18
10,M,Rural,Other,3,62,45,10,10,23
48,M,Suburban,Republican,2,53,64,1,13,15
2,M,Rural,Democrat,8,59,39,8,9,24
